DATE,CHUNK
20171227,2017-12-25
20171228,2017-12-25
20171229,2017-12-25
20171230,2017-12-29
20171231,2017-12-29
20180101,2017-12-29
20180102,2018-01-01
20180103,2018-01-01
20180104,2018-01-01
20180105,2018-01-01
20180106,2018-01-05
20180107,2018-01-05
20180108,2018-01-05
20180109,2018-01-05
20180110,2018-01-09
20180111,2018-01-09
20180112,2018-01-09
20180113,2018-01-09
20180114,2018-01-13
20180115,2018-01-13
20180116,2018-01-13
20180117,2018-01-13
20180118,2018-01-17
20180119,2018-01-17
20180120,2018-01-17
20180121,2018-01-17
20180122,2018-01-21
20180123,2018-01-21
20180124,2018-01-21
20180125,2018-01-21
20180126,2018-01-25
20180127,2018-01-25
20180128,2018-01-25
20180129,2018-01-25
20180130,2018-01-29
20180131,2018-01-29
20180201,2018-01-29
20180202,2018-02-01
20180203,2018-02-01
20180204,2018-02-01
20180205,2018-02-01
20180206,2018-02-05
20180207,2018-02-05
20180208,2018-02-05
20180209,2018-02-05
20180210,2018-02-09
20180211,2018-02-09
20180212,2018-02-09
20180213,2018-02-09
20180214,2018-02-13
20180215,2018-02-13
20180216,2018-02-13
20180217,2018-02-13
20180218,2018-02-17
20180219,2018-02-17
20180220,2018-02-17
20180221,2018-02-17
20180222,2018-02-21
20180223,2018-02-21
20180224,2018-02-21
20180225,2018-02-21
20180226,2018-02-25
20180227,2018-02-25
20180228,2018-02-25
20180301,2018-02-25
20180302,2018-03-01
20180303,2018-03-01
20180304,2018-03-01
20180305,2018-03-01
20180306,2018-03-05
20180307,2018-03-05
20180308,2018-03-05
20180309,2018-03-05
20180310,2018-03-09
20180311,2018-03-09
20180312,2018-03-09
20180313,2018-03-09
20180314,2018-03-13
20180315,2018-03-13
20180316,2018-03-13
20180317,2018-03-13
20180318,2018-03-17
20180319,2018-03-17
20180320,2018-03-17
20180321,2018-03-17
20180322,2018-03-21
20180323,2018-03-21
20180324,2018-03-21
20180325,2018-03-21
20180326,2018-03-25
20180327,2018-03-25
20180328,2018-03-25
20180329,2018-03-25
20180330,2018-03-29
20180331,2018-03-29
20180401,2018-03-29
20180402,2018-04-01
20180403,2018-04-01
20180404,2018-04-01
20180405,2018-04-01
20180406,2018-04-05
20180407,2018-04-05
20180408,2018-04-05
20180409,2018-04-05
20180410,2018-04-09
20180411,2018-04-09
20180412,2018-04-09
20180413,2018-04-09
20180414,2018-04-13
20180415,2018-04-13
20180416,2018-04-13
20180417,2018-04-13
20180418,2018-04-17
20180419,2018-04-17
20180420,2018-04-17
20180421,2018-04-17
20180422,2018-04-21
20180423,2018-04-21
20180424,2018-04-21
20180425,2018-04-21
20180426,2018-04-25
20180427,2018-04-25
20180428,2018-04-25
20180429,2018-04-25
20180430,2018-04-29
20180501,2018-04-29
20180502,2018-05-01
20180503,2018-05-01
20180504,2018-05-01
20180505,2018-05-01
20180506,2018-05-05
20180507,2018-05-05
20180508,2018-05-05
20180509,2018-05-05
20180510,2018-05-09
20180511,2018-05-09
20180512,2018-05-09
20180513,2018-05-09
20180514,2018-05-13
20180515,2018-05-13
20180516,2018-05-13
20180517,2018-05-13
20180518,2018-05-17
20180519,2018-05-17
20180520,2018-05-17
20180521,2018-05-17
20180522,2018-05-21
20180523,2018-05-21
20180524,2018-05-21
20180525,2018-05-21
20180526,2018-05-25
20180527,2018-05-25
20180528,2018-05-25
20180529,2018-05-25
20180530,2018-05-29
20180531,2018-05-29
20180601,2018-05-29
20180602,2018-06-01
20180603,2018-06-01
20180604,2018-06-01
20180605,2018-06-01
20180606,2018-06-05
20180607,2018-06-05
20180608,2018-06-05
20180609,2018-06-05
20180610,2018-06-09
20180611,2018-06-09
20180612,2018-06-09
20180613,2018-06-09
20180614,2018-06-13
20180615,2018-06-13
20180616,2018-06-13
20180617,2018-06-13
20180618,2018-06-17
20180619,2018-06-17
20180620,2018-06-17
20180621,2018-06-17
20180622,2018-06-21
20180623,2018-06-21
20180624,2018-06-21
20180625,2018-06-21
20180626,2018-06-25
20180627,2018-06-25
20180628,2018-06-25
20180629,2018-06-25
20180630,2018-06-29
20180701,2018-06-29
20180702,2018-07-01
20180703,2018-07-01
20180704,2018-07-01
20180705,2018-07-01
20180706,2018-07-05
20180707,2018-07-05
20180708,2018-07-05
20180709,2018-07-05
20180710,2018-07-09
20180711,2018-07-09
20180712,2018-07-09
20180713,2018-07-09
20180714,2018-07-13
20180715,2018-07-13
20180716,2018-07-13
20180717,2018-07-13
20180718,2018-07-17
20180719,2018-07-17
20180720,2018-07-17
20180721,2018-07-17
20180722,2018-07-21
20180723,2018-07-21
20180724,2018-07-21
20180725,2018-07-21
20180726,2018-07-25
20180727,2018-07-25
20180728,2018-07-25
20180729,2018-07-25
20180730,2018-07-29
20180731,2018-07-29
20180801,2018-07-29
20180802,2018-08-01
20180803,2018-08-01
20180804,2018-08-01
20180805,2018-08-01
20180806,2018-08-05
20180807,2018-08-05
20180808,2018-08-05
20180809,2018-08-05
20180810,2018-08-09
20180811,2018-08-09
20180812,2018-08-09
20180813,2018-08-09
20180814,2018-08-13
20180815,2018-08-13
20180816,2018-08-13
20180817,2018-08-13
20180818,2018-08-17
20180819,2018-08-17
20180820,2018-08-17
20180821,2018-08-17
20180822,2018-08-21
20180823,2018-08-21
20180824,2018-08-21
20180825,2018-08-21
20180826,2018-08-25
20180827,2018-08-25
20180828,2018-08-25
20180829,2018-08-25
20180830,2018-08-29
20180831,2018-08-29
20180901,2018-08-29
20180902,2018-09-01
20180903,2018-09-01
20180904,2018-09-01
20180905,2018-09-01
20180906,2018-09-05
20180907,2018-09-05
20180908,2018-09-05
20180909,2018-09-05
20180910,2018-09-09
20180911,2018-09-09
20180912,2018-09-09
20180913,2018-09-09
20180914,2018-09-13
20180915,2018-09-13
20180916,2018-09-13
20180917,2018-09-13
20180918,2018-09-17
20180919,2018-09-17
20180920,2018-09-17
20180921,2018-09-17
20180922,2018-09-21
20180923,2018-09-21
20180924,2018-09-21
20180925,2018-09-21
20180926,2018-09-25
20180927,2018-09-25
20180928,2018-09-25
20180929,2018-09-25
20180930,2018-09-29
20181001,2018-09-29
20181002,2018-10-01
20181003,2018-10-01
20181004,2018-10-01
20181005,2018-10-01
20181006,2018-10-05
20181007,2018-10-05
20181008,2018-10-05
20181009,2018-10-05
20181010,2018-10-09
20181011,2018-10-09
20181012,2018-10-09
20181013,2018-10-09
20181014,2018-10-13
20181015,2018-10-13
20181016,2018-10-13
20181017,2018-10-13
20181018,2018-10-17
20181019,2018-10-17
20181020,2018-10-17
20181021,2018-10-17
20181022,2018-10-21
20181023,2018-10-21
20181024,2018-10-21
20181025,2018-10-21
20181026,2018-10-25
20181027,2018-10-25
20181028,2018-10-25
20181029,2018-10-25
20181030,2018-10-29
20181031,2018-10-29
20181101,2018-10-29
20181102,2018-11-01
20181103,2018-11-01
20181104,2018-11-01
20181105,2018-11-01
20181106,2018-11-05
20181107,2018-11-05
20181108,2018-11-05
20181109,2018-11-05
20181110,2018-11-09
20181111,2018-11-09
20181112,2018-11-09
20181113,2018-11-09
20181114,2018-11-13
20181115,2018-11-13
20181116,2018-11-13
20181117,2018-11-13
20181118,2018-11-17
20181119,2018-11-17
20181120,2018-11-17
20181121,2018-11-17
20181122,2018-11-21
20181123,2018-11-21
20181124,2018-11-21
20181125,2018-11-21
20181126,2018-11-25
20181127,2018-11-25
20181128,2018-11-25
20181129,2018-11-25
20181130,2018-11-29
20181201,2018-11-29
20181202,2018-12-01
20181203,2018-12-01
20181204,2018-12-01
20181205,2018-12-01
20181206,2018-12-05
20181207,2018-12-05
20181208,2018-12-05
20181209,2018-12-05
20181210,2018-12-09
20181211,2018-12-09
20181212,2018-12-09
20181213,2018-12-09
20181214,2018-12-13
20181215,2018-12-13
20181216,2018-12-13
20181217,2018-12-13
20181218,2018-12-17
20181219,2018-12-17
20181220,2018-12-17
20181221,2018-12-17
20181222,2018-12-21
20181223,2018-12-21
20181224,2018-12-21
20181225,2018-12-21
20181226,2018-12-25
20181227,2018-12-25
20181228,2018-12-25
20181229,2018-12-25
20181230,2018-12-29
20181231,2018-12-29
